[SPEAKER] [SYSTEM] [i] [WER] S:[numSubstitutions], I:[numInsertions], D:[numDeletions]
S-18B Kaldi 8 30.76923076923077 S:8, I:0, D:4
S-18B Kaldi 9 66.66666666666667 S:4, I:2, D:0
S-18B Kaldi 10 38.46153846153846 S:9, I:14, D:2
S-18B Kaldi 11 26.845637583892618 S:12, I:18, D:10
S-17A Google 0 32.33404710920771 S:71, I:8, D:72
S-17A Google 1 25.479930191972077 S:77, I:6, D:63
S-17A Google 2 21.153846153846153 S:27, I:4, D:35
S-17A Google 3 28.762541806020067 S:104, I:8, D:60
S-17A Google 4 28.7758346581876 S:95, I:8, D:78
S-17A Google 5 28.481012658227847 S:40, I:1, D:49
S-17A Google 6 34.12698412698413 S:56, I:6, D:24
S-17A Google 7 34.024896265560166 S:101, I:13, D:50
S-17A Google 8 28.444444444444443 S:31, I:5, D:28
S-17A Google 9 24.33862433862434 S:48, I:5, D:39
S-17A Google 10 16.984732824427482 S:47, I:11, D:31
S-17A Google 11 20.481927710843372 S:11, I:1, D:5
S-17A Kaldi 0 19.05781584582441 S:60, I:13, D:16
S-17A Kaldi 1 13.43804537521815 S:55, I:5, D:17
S-17A Kaldi 2 8.653846153846153 S:18, I:4, D:5
S-17A Kaldi 3 15.384615384615385 S:61, I:15, D:16
S-17A Kaldi 4 12.87758346581876 S:54, I:6, D:21
S-17A Kaldi 5 12.974683544303797 S:18, I:8, D:15
S-17A Kaldi 6 17.063492063492063 S:29, I:11, D:3
S-17A Kaldi 7 15.767634854771785 S:47, I:12, D:17
S-17A Kaldi 8 11.11111111111111 S:18, I:4, D:3
S-17A Kaldi 9 14.02116402116402 S:35, I:5, D:13
S-17A Kaldi 10 8.969465648854962 S:27, I:11, D:9
S-17A Kaldi 11 14.457831325301205 S:8, I:1, D:3
S-12D Google 0 52.21238938053097 S:26, I:1, D:32
S-12D Google 1 52.11267605633803 S:34, I:1, D:39
S-12D Google 2 41.02564102564103 S:17, I:1, D:14
S-12D Google 3 57.142857142857146 S:28, I:0, D:20
S-12D Google 4 41.95402298850575 S:38, I:1, D:34
S-12D Google 5 53.47222222222222 S:36, I:1, D:40
S-12D Kaldi 0 29.20353982300885 S:19, I:3, D:11
S-12D Kaldi 1 31.690140845070424 S:27, I:7, D:11
S-12D Kaldi 2 21.794871794871796 S:9, I:3, D:5
S-12D Kaldi 3 29.761904761904763 S:12, I:2, D:11
S-12D Kaldi 4 20.689655172413794 S:24, I:1, D:11
S-12D Kaldi 5 30.555555555555557 S:27, I:1, D:16
S-2B Google 0 50.0 S:14, I:0, D:31
S-2B Google 1 55.33980582524272 S:22, I:1, D:34
S-2B Google 2 55.15021459227468 S:135, I:7, D:115
S-2B Google 3 47.023809523809526 S:38, I:0, D:41
S-2B Google 4 47.21407624633431 S:80, I:4, D:77
S-2B Google 5 49.559471365638764 S:91, I:3, D:131
S-2B Kaldi 0 36.666666666666664 S:20, I:6, D:7
S-2B Kaldi 1 42.71844660194175 S:23, I:7, D:14
S-2B Kaldi 2 38.412017167381975 S:94, I:17, D:68
S-2B Kaldi 3 30.357142857142858 S:33, I:0, D:18
S-2B Kaldi 4 37.5366568914956 S:72, I:13, D:43
S-2B Kaldi 5 27.53303964757709 S:67, I:7, D:51
S-26B Google 0 35.80246913580247 S:13, I:0, D:16
S-26B Google 1 35.56485355648535 S:38, I:0, D:47
S-26B Google 2 40.89219330855018 S:63, I:7, D:40
S-26B Google 3 45.736434108527135 S:33, I:2, D:24
S-26B Google 4 38.297872340425535 S:57, I:5, D:46
S-26B Google 5 51.2 S:112, I:8, D:72
S-26B Google 6 29.585798816568047 S:18, I:1, D:31
S-26B Google 7 28.8659793814433 S:15, I:0, D:13
S-26B Google 8 33.333333333333336 S:19, I:4, D:14
S-26B Google 9 39.285714285714285 S:8, I:0, D:3
S-26B Google 10 59.09090909090909 S:33, I:3, D:16
S-26B Google 11 57.142857142857146 S:0, I:0, D:4
S-26B Kaldi 0 22.22222222222222 S:10, I:2, D:6
S-26B Kaldi 1 25.10460251046025 S:38, I:8, D:14
S-26B Kaldi 2 22.676579925650557 S:32, I:10, D:19
S-26B Kaldi 3 35.65891472868217 S:25, I:9, D:12
S-26B Kaldi 4 19.50354609929078 S:32, I:1, D:22
S-26B Kaldi 5 38.666666666666664 S:83, I:10, D:52
S-26B Kaldi 6 22.485207100591715 S:25, I:3, D:10
S-26B Kaldi 7 27.835051546391753 S:22, I:3, D:2
S-26B Kaldi 8 24.324324324324323 S:10, I:6, D:11
S-26B Kaldi 9 39.285714285714285 S:8, I:1, D:2
S-26B Kaldi 10 40.90909090909091 S:22, I:4, D:10
S-26B Kaldi 11 28.571428571428573 S:1, I:0, D:1
S-8D Google 0 35.86497890295359 S:34, I:5, D:46
S-8D Google 1 30.21276595744681 S:29, I:3, D:39
S-8D Google 2 25.552825552825553 S:37, I:2, D:65
S-8D Google 3 32.25058004640371 S:58, I:5, D:76
S-8D Google 4 31.224489795918366 S:69, I:13, D:71
S-8D Google 5 26.940639269406393 S:58, I:4, D:56
S-8D Kaldi 0 13.080168776371307 S:12, I:12, D:7
S-8D Kaldi 1 13.191489361702128 S:13, I:7, D:11
S-8D Kaldi 2 12.776412776412776 S:23, I:12, D:17
S-8D Kaldi 3 19.25754060324826 S:48, I:10, D:25
S-8D Kaldi 4 17.755102040816325 S:44, I:21, D:22
S-8D Kaldi 5 12.100456621004566 S:32, I:8, D:13
S-29A Google 0 27.155172413793103 S:27, I:2, D:34
S-29A Google 1 24.62121212121212 S:22, I:3, D:40
S-29A Google 2 34.831460674157306 S:19, I:0, D:74
S-29A Google 3 25.259515570934255 S:31, I:1, D:41
